iter	Passed	Remaining
0	123	123264
1	125	62809
2	128	42620
3	130	32529
4	133	26480
5	135	22440
6	138	19577
7	140	17399
8	143	15756
9	146	14519
10	149	13436
11	152	12555
12	155	11792
13	157	11124
14	160	10554
15	162	10016
16	164	9529
17	166	9093
18	169	8729
19	171	8382
20	172	8064
21	175	7787
22	177	7546
23	179	7298
24	181	7064
25	182	6847
26	184	6655
27	186	6479
28	188	6319
29	191	6175
30	193	6037
31	195	5917
32	197	5788
33	199	5674
34	201	5555
35	203	5452
36	205	5345
37	206	5237
38	208	5141
39	210	5051
40	213	4998
41	215	4914
42	217	4834
43	218	4753
44	220	4673
45	221	4596
46	223	4522
47	224	4457
48	226	4390
49	227	4323
50	228	4258
51	230	4200
52	231	4141
53	233	4082
54	234	4031
55	236	3978
56	237	3928
57	238	3879
58	240	3828
59	241	3778
60	242	3733
61	243	3689
62	245	3648
63	246	3608
64	248	3567
65	249	3527
66	250	3491
67	252	3454
68	253	3417
69	254	3386
70	256	3361
71	258	3326
72	259	3293
73	260	3259
74	261	3224
75	262	3196
76	264	3166
77	265	3137
78	266	3107
79	267	3080
80	268	3051
81	270	3024
82	270	2992
83	272	2968
84	273	2944
85	274	2919
86	275	2896
87	277	2871
88	278	2846
89	278	2818
90	279	2795
91	280	2771
92	281	2744
93	282	2724
94	283	2703
95	284	2682
96	286	2662
97	287	2642
98	288	2626
99	290	2613
100	292	2604
101	293	2585
102	294	2568
103	296	2550
104	297	2534
105	298	2521
106	300	2507
107	301	2491
108	302	2475
109	304	2461
110	305	2446
111	306	2432
112	308	2418
113	309	2404
114	310	2390
115	311	2375
116	312	2360
117	313	2345
118	315	2333
119	316	2321
120	317	2308
121	319	2296
122	320	2284
123	321	2272
124	323	2261
125	324	2252
126	325	2240
127	327	2228
128	328	2216
129	329	2203
130	330	2190
131	331	2179
132	332	2167
133	333	2156
134	334	2144
135	335	2132
136	336	2121
137	338	2111
138	339	2101
139	340	2090
140	341	2080
141	342	2068
142	343	2056
143	344	2049
144	345	2039
145	346	2029
146	347	2019
147	349	2009
148	350	1999
149	351	1992
150	352	1983
151	353	1974
152	355	1967
153	356	1960
154	358	1952
155	359	1944
156	360	1935
157	361	1926
158	362	1917
159	363	1910
160	364	1901
161	365	1892
162	367	1884
163	368	1877
164	369	1869
165	371	1864
166	372	1857
167	373	1850
168	375	1843
169	376	1838
170	377	1831
171	379	1824
172	380	1818
173	381	1811
174	382	1805
175	384	1801
176	385	1794
177	387	1787
178	388	1780
179	389	1773
180	390	1768
181	392	1762
182	393	1756
183	395	1751
184	396	1745
185	397	1740
186	398	1734
187	400	1728
188	401	1723
189	402	1717
190	404	1711
191	405	1705
192	406	1699
193	407	1694
194	408	1687
195	410	1682
196	411	1677
197	412	1671
198	413	1665
199	414	1659
200	416	1654
201	417	1649
202	419	1645
203	420	1639
204	421	1633
205	422	1628
206	423	1623
207	424	1617
208	426	1612
209	427	1607
210	428	1603
211	429	1597
212	430	1591
213	431	1586
214	432	1580
215	434	1575
216	436	1574
217	437	1569
218	438	1565
219	439	1559
220	441	1554
221	442	1550
222	443	1546
223	445	1541
224	446	1536
225	447	1531
226	448	1526
227	449	1521
228	450	1517
229	452	1513
230	453	1508
231	454	1504
232	455	1500
233	456	1495
234	458	1492
235	459	1488
236	461	1484
237	462	1480
238	463	1475
239	464	1471
240	466	1468
241	467	1463
242	468	1459
243	469	1455
244	470	1450
245	471	1446
246	472	1441
247	473	1437
248	475	1432
249	476	1428
250	477	1423
251	478	1420
252	479	1416
253	481	1413
254	482	1409
255	483	1405
256	484	1401
257	485	1397
258	487	1393
259	488	1389
260	489	1385
261	490	1381
262	491	1377
263	492	1373
264	493	1369
265	495	1366
266	496	1363
267	497	1359
268	498	1355
269	500	1352
270	501	1348
271	502	1344
272	503	1340
273	504	1336
274	505	1332
275	507	1330
276	508	1326
277	509	1322
278	510	1318
279	511	1314
280	512	1311
281	513	1308
282	515	1304
283	516	1301
284	517	1298
285	518	1294
286	519	1290
287	520	1287
288	521	1284
289	523	1280
290	524	1277
291	525	1273
292	526	1270
293	528	1268
294	529	1265
295	530	1262
296	532	1260
297	535	1260
298	536	1258
299	537	1255
300	539	1252
301	540	1250
302	542	1247
303	543	1244
304	544	1241
305	546	1238
306	547	1235
307	548	1232
308	549	1229
309	550	1226
310	552	1223
311	553	1220
312	554	1218
313	556	1215
314	557	1212
315	558	1208
316	559	1205
317	560	1203
318	562	1199
319	563	1196
320	564	1194
321	565	1191
322	567	1188
323	568	1186
324	569	1182
325	570	1179
326	571	1176
327	572	1173
328	574	1171
329	575	1167
330	576	1164
331	577	1161
332	578	1158
333	579	1155
334	581	1154
335	583	1152
336	584	1150
337	585	1147
338	586	1144
339	588	1141
340	589	1138
341	590	1135
342	591	1132
343	592	1130
344	594	1127
345	595	1125
346	596	1122
347	597	1119
348	598	1116
349	599	1114
350	601	1111
351	602	1108
352	603	1105
353	604	1102
354	605	1100
355	606	1097
356	608	1095
357	609	1093
358	610	1090
359	611	1087
360	613	1085
361	614	1083
362	615	1080
363	616	1077
364	617	1075
365	619	1072
366	620	1070
367	621	1067
368	622	1065
369	623	1062
370	624	1059
371	626	1057
372	628	1056
373	629	1053
374	630	1050
375	631	1048
376	632	1045
377	633	1043
378	635	1041
379	636	1039
380	638	1036
381	639	1034
382	640	1031
383	641	1029
384	642	1026
385	644	1024
386	645	1022
387	646	1020
388	648	1018
389	649	1016
390	650	1013
391	652	1011
392	653	1009
393	654	1007
394	656	1004
395	657	1002
396	658	999
397	659	997
398	660	995
399	662	993
400	663	991
401	664	988
402	665	986
403	667	984
404	668	981
405	669	979
406	671	978
407	672	975
408	673	973
409	674	971
410	675	968
411	676	965
412	677	963
413	679	961
414	680	958
415	681	957
416	683	955
417	684	952
418	685	950
419	686	947
420	687	945
421	688	943
422	690	941
423	691	938
424	692	936
425	693	934
426	694	931
427	695	929
428	697	928
429	698	925
430	699	923
431	700	921
432	702	919
433	703	917
434	704	914
435	705	912
436	706	910
437	707	908
438	709	906
439	710	903
440	711	901
441	712	899
442	713	897
443	714	895
444	716	893
445	717	891
446	719	889
447	720	887
448	722	886
449	723	884
450	726	883
451	727	881
452	729	880
453	730	878
454	732	876
455	733	875
456	734	872
457	736	871
458	737	869
459	738	867
460	740	865
461	741	863
462	743	861
463	744	859
464	745	857
465	746	855
466	748	854
467	749	852
468	751	850
469	752	848
470	754	846
471	755	844
472	756	842
473	757	840
474	758	838
475	759	836
476	760	834
477	762	832
478	764	831
479	765	829
480	766	827
481	767	825
482	769	823
483	770	821
484	771	819
485	772	817
486	773	815
487	774	813
488	776	811
489	777	809
490	778	807
491	779	805
492	780	802
493	781	800
494	782	798
495	783	796
496	785	794
497	786	792
498	787	790
499	788	788
500	790	786
501	791	785
502	792	783
503	794	781
504	795	779
505	797	778
506	798	776
507	799	774
508	800	772
509	802	770
510	803	769
511	804	767
512	806	765
513	807	763
514	808	761
515	810	759
516	811	758
517	812	756
518	814	754
519	815	752
520	816	750
521	817	748
522	819	747
523	820	745
524	822	744
525	824	742
526	825	740
527	826	738
528	827	736
529	829	735
530	830	733
531	831	731
532	832	729
533	834	728
534	835	726
535	836	724
536	838	722
537	839	720
538	840	719
539	842	717
540	843	715
541	844	713
542	846	712
543	847	710
544	849	708
545	850	707
546	851	705
547	852	703
548	854	701
549	855	699
550	856	697
551	857	696
552	858	694
553	859	692
554	861	690
555	862	688
556	863	687
557	865	685
558	866	683
559	867	681
560	869	680
561	870	678
562	872	676
563	873	675
564	876	674
565	877	673
566	879	671
567	880	669
568	881	667
569	882	666
570	884	664
571	885	662
572	886	660
573	889	659
574	890	658
575	892	656
576	893	654
577	894	653
578	895	651
579	896	649
580	898	647
581	899	645
582	900	643
583	901	642
584	903	640
585	904	639
586	906	637
587	907	636
588	909	634
589	910	632
590	911	630
591	912	628
592	913	627
593	914	625
594	916	623
595	917	622
596	919	620
597	920	618
598	921	616
599	922	614
600	923	612
601	924	611
602	925	609
603	927	607
604	928	606
605	930	604
606	931	603
607	932	601
608	934	599
609	935	597
610	936	596
611	937	594
612	938	592
613	939	590
614	940	589
615	941	587
616	943	585
617	944	584
618	946	582
619	947	580
620	948	578
621	949	577
622	951	575
623	953	574
624	954	572
625	955	570
626	956	568
627	957	567
628	959	565
629	960	563
630	961	562
631	962	560
632	963	558
633	964	556
634	965	555
635	966	553
636	967	551
637	969	549
638	970	548
639	971	546
640	972	544
641	973	542
642	974	540
643	975	539
644	976	537
645	977	535
646	979	534
647	980	532
648	981	531
649	984	529
650	985	528
651	986	526
652	988	525
653	989	523
654	990	521
655	991	520
656	993	518
